Method,Missing_Fraction,Replicate,N_Missing,RMSE,MAE,R2,PLV,Time,Status,Session
Baseline GPR,0.1,0,850,0.6022937293691657,0.4009884215189912,0.14111328462679384,0.4080633084362996,40.44888091087341,Success,session_1
Baseline GPR,0.1,1,850,0.6857269525432228,0.45263608152414636,0.11963589214877823,0.42651404901209494,46.987525939941406,Success,session_1
Multi-Kernel GPR,0.1,0,850,0.5718292919339213,0.37585742478521705,0.22580208251519973,0.5195560257060982,48.90771698951721,Success,session_1
Multi-Kernel GPR,0.1,1,850,0.6588800518062949,0.41248605823954915,0.18722075159857932,0.516779796044037,87.10438418388367,Success,session_1
EKF,0.1,0,850,0.8005835042599109,0.5291349405451611,-0.5175131981139853,0.12559672671537983,0.10807275772094727,Success,session_1
EKF,0.1,1,850,1.070732500357575,0.656808128663703,-1.1464553509463697,0.2437224002518092,0.11365675926208496,Success,session_1
Particle Filter,0.1,0,850,0.9528541344688899,0.6618128783367675,-1.1496712472245845,0.08372462614968179,0.5076847076416016,Success,session_1
Particle Filter,0.1,1,850,1.0325499780025034,0.6756653653830178,-0.9960988857020325,0.30269780041956496,0.4750328063964844,Success,session_1
