distortion,method,rmse,mae,r2,plv,correlation_zero_lag,max_correlation,optimal_lag,pearson_r,pearson_p,stage
warp_positive,cubic_spline,1.1983557909379632,0.7116656534295264,-0.8345022445022567,0.6684096527029356,-0.020163356143851133,0.021435095047861487,-34,-0.02911490470814944,0.004904536887382166,
warp_positive,gpr,1.1983557909379632,0.7116656534295264,-0.8345022445022567,0.6684096527029356,-0.020163356143851133,0.021435095047861487,-34,-0.02911490470814944,0.004904536887382166,
warp_positive,penalized_spline,1.1983557909379632,0.7116656534295264,-0.8345022445022567,0.6684096527029356,-0.020163356143851133,0.021435095047861487,-34,-0.02911490470814944,0.004904536887382166,
warp_negative,cubic_spline,1.3726561650359306,0.8253106439440043,-1.4069674628789186,0.6377374258889262,0.04952782710821464,0.061132727628998976,-7,0.05173275672306163,5.70382541512614e-07,
warp_negative,gpr,1.3726561650359306,0.8253106439440043,-1.4069674628789186,0.6377374258889262,0.04952782710821464,0.061132727628998976,-7,0.05173275672306163,5.70382541512614e-07,
warp_negative,penalized_spline,1.3726561650359306,0.8253106439440043,-1.4069674628789186,0.6377374258889262,0.04952782710821464,0.061132727628998976,-7,0.05173275672306163,5.70382541512614e-07,
warp_mixed,cubic_spline,1.2388147910215586,0.740132797924971,-0.9604666270598858,0.6721308093349171,0.03521226179815291,0.061429741710996674,36,0.04391760715608564,2.188836765457613e-05,
warp_mixed,gpr,1.2388147910215586,0.740132797924971,-0.9604666270598858,0.6721308093349171,0.03521226179815291,0.061429741710996674,36,0.04391760715608564,2.188836765457613e-05,
warp_mixed,penalized_spline,1.2388147910215586,0.740132797924971,-0.9604666270598858,0.6721308093349171,0.03521226179815291,0.061429741710996674,36,0.04391760715608564,2.188836765457613e-05,
phase_offset,cubic_spline,1.2299223369922365,0.8017888614890198,-0.9324224198751927,0.6276199973501652,0.026450016715501942,0.06418771447198703,34,0.03378879006240384,0.0010942784829163672,
phase_offset,gpr,1.2299223369922365,0.8017888614890198,-0.9324224198751927,0.6276199973501652,0.026450016715501942,0.06418771447198703,34,0.03378879006240384,0.0010942784829163672,
phase_offset,penalized_spline,1.2299223369922365,0.8017888614890198,-0.9324224198751927,0.6276199973501652,0.026450016715501942,0.06418771447198703,34,0.03378879006240384,0.0010942784829163672,
missing_chunks,cubic_spline,0.3121612059995342,0.052683625927532514,0.8755185755202904,0.9798175640129958,0.7323093632727659,0.7323093632727659,0,0.9381949927826672,0.0,
missing_chunks,gpr,0.21390795010040028,0.04195720493521371,0.9415478431034524,0.9841329655137144,0.737537613591054,0.737537613591054,0,0.9703933611833347,0.0,
missing_chunks,penalized_spline,0.27520749383886434,0.04812015130948794,0.9032463849873499,0.9794485999393122,0.749750162279808,0.749750162279808,0,0.9519377162095484,0.0,
time_jitter,cubic_spline,1.1924114285997354,0.7173576466561047,-0.8163475370063098,0.6570151977658845,0.06651108439115759,0.15121111311548543,-23,0.0855550307997016,1.229510844174274e-16,
time_jitter,gpr,1.1924114285997354,0.7173576466561047,-0.8163475370063098,0.6570151977658845,0.06651108439115759,0.15121111311548543,-23,0.0855550307997016,1.229510844174274e-16,
time_jitter,penalized_spline,1.1924114285997354,0.7173576466561047,-0.8163475370063098,0.6570151977658845,0.06651108439115759,0.15121111311548543,-23,0.0855550307997016,1.229510844174274e-16,
,cubic_spline,1.1624299213313687,0.692105626473468,-0.7261568271048529,0.6805249027484294,0.013426594303351599,0.0518402277634719,41,0.019669971571666868,0.05738080458419742,stage2_combined
,gpr,1.1435920770084353,0.6803072414471616,-0.6706634264791718,0.6876583259623488,0.010262219235014644,0.050613672648794156,29,0.01571191914385135,0.12902914111176464,stage2_combined
,penalized_spline,2.2902107869019543,1.04749724068612,-5.700351731615681,0.6129323162954957,-0.022832279833692314,0.15024404161289806,29,-0.012279481172065848,0.2355029200516057,stage2_combined
