stage,distortion,method,rmse,mae,r2,plv,pearson_r,time_s
stage1,mixed_warping,penalized_spline,16.883996598685144,10.803448470342984,-0.3534082961416636,0.5413539769171207,0.5396181628752664,0.0029010772705078125
stage1,mixed_warping,cubic_spline_basic,16.883996598685144,10.803448470342984,-0.3534082961416636,0.5413539769171207,0.5396181628752664,0.11557888984680176
stage1,missing_chunks,penalized_spline,1.7217101835148254,0.2390553316772091,0.9859266198570982,0.9999760899710415,0.9999510543542873,0.0011332035064697266
stage1,missing_chunks,cubic_spline_basic,1.6853422882420932,0.23996768449946193,0.9865148879756306,0.9999657905438843,0.9999297957386024,0.09574604034423828
stage1,time_jitter,penalized_spline,6.097229093820122,2.472622678153036,0.8235005530711128,0.9975050533523998,0.9965331022927553,0.0012259483337402344
stage1,time_jitter,cubic_spline_basic,6.097229093820122,2.472622678153036,0.8235005530711128,0.9975050533523998,0.9965331022927553,0.11513185501098633
stage2,combined,penalized_spline,20.890129043090905,12.574594040909965,-1.0718607723832085,0.5407295032144462,0.5437714504160576,0.0011708736419677734
stage2,combined,cubic_spline_basic,21.408341878332653,12.71747957989629,-1.1759273220775008,0.5336435538543614,0.5439621678479996,0.09782195091247559
