Warp_Level,Trial,Hilbert_IF_Var,Hilbert_Diff,Hilbert_Time,DTW_Distance,DTW_Time,CrossCorr_Lag,CrossCorr_Max
0.01,0,0.0022187117881481942,0.0007311362401361497,0.004660844802856445,20.774357641988455,0.10042595863342285,0,0.8989097186759056
0.01,1,0.0023655307846411028,0.0008779552366290583,0.003164052963256836,22.84763888919914,0.10396194458007812,-1,0.7532988303389959
0.01,2,0.0020049144696118607,0.0005173389215998162,0.003486156463623047,19.991694498710093,0.10280299186706543,1,0.8059538633847597
0.01,3,0.0022171361790059223,0.0007295606309938778,0.003571033477783203,21.11140069111125,0.09734702110290527,-2,0.8427889041005965
0.01,4,0.002378958386860926,0.0008913828388488817,0.0032079219818115234,21.850154129140037,0.09768176078796387,-1,0.79473079445158
0.05,0,0.0173071086574374,0.015819533109425358,0.0031838417053222656,65.94454126620651,0.09337186813354492,-393,0.15046119066953348
0.05,1,0.017700410522864366,0.016212834974852323,0.003274202346801758,68.19959551029196,0.09453678131103516,-26,0.14738858345016073
0.05,2,0.016874958282555415,0.01538738273454337,0.003059864044189453,67.00735500465318,0.09286308288574219,144,0.1565029132433848
0.05,3,0.018340014555295745,0.0168524390072837,0.003021717071533203,67.29569939143053,0.09291601181030273,-1,0.13536031488966463
0.05,4,0.01689926527016915,0.015411689722157106,0.0030388832092285156,66.50226202024655,0.0929720401763916,-25,0.22514861406722986
0.1,0,0.030235304896618395,0.028747729348606352,0.0030400753021240234,76.60623945960599,0.09250402450561523,-147,0.11012637441176548
0.1,1,0.029018012631956754,0.02753043708394471,0.0031092166900634766,76.60714495421935,0.0919487476348877,-55,0.1276310856821266
0.1,2,0.02994146332760005,0.028453887779588006,0.0030269622802734375,76.53556885082095,0.09320187568664551,551,0.09250878118537233
0.1,3,0.030029436041870017,0.028541860493857974,0.0031280517578125,77.15231170630533,0.09279203414916992,36,0.1318243689131521
0.1,4,0.03098284580614079,0.029495270258128748,0.0030219554901123047,77.44570687665127,0.09332609176635742,247,0.11205013313898812
0.15,0,0.03252638516743619,0.031038809619424144,0.003011941909790039,78.29765592332062,0.09333300590515137,-31,0.0901393565383125
0.15,1,0.032342096997968965,0.030854521449956922,0.0030319690704345703,77.33358482043202,0.09407305717468262,-17,0.10167194377112919
0.15,2,0.03338416428644397,0.03189658873843192,0.0030422210693359375,78.27026188429089,0.09362196922302246,367,0.10324865068786117
0.15,3,0.03307021764785186,0.03158264209983982,0.0030291080474853516,77.41555827392379,0.09353899955749512,-297,0.10285232998180022
0.15,4,0.032466070941173965,0.03097849539316192,0.003030061721801758,78.18786444819432,0.0934751033782959,29,0.12027088549293176
0.2,0,0.03519517573907888,0.03370760019106683,0.003046274185180664,79.11847331925253,0.09552693367004395,3,0.12103918598275605
0.2,1,0.03341309590548127,0.03192552035746923,0.003153085708618164,78.30748244682152,0.0936279296875,113,0.11995098657986342
0.2,2,0.034816643058697076,0.03332906751068503,0.003094911575317383,79.47506682806318,0.09253382682800293,-92,0.1128368093553514
0.2,3,0.03721318827173269,0.03572561272372065,0.0030601024627685547,78.79446521908122,0.09460926055908203,-38,0.0874732663631977
0.2,4,0.0343880902765213,0.03290051472850926,0.003142833709716797,79.32835883753789,0.09292078018188477,68,0.1222678302567923
