Warp_Level,Trial,RMSE_Before,RMSE_After,Improvement_Pct,Compensation_Time
0.01,0,1.0183489151282163,1.496145420538145,-46.91874251663254,0.002259969711303711
0.01,1,1.1357155440175342,1.578753008197642,-39.00954482078197,0.0007531642913818359
0.01,2,1.1429300520097423,1.5837499855901882,-38.5692836412257,0.0006258487701416016
0.01,3,1.1001052431361578,1.5524097200971527,-41.11465514622715,0.0006699562072753906
0.01,4,1.109889564093621,1.5594581615343872,-40.50570543096343,0.0006260871887207031
0.05,0,1.6480925752996538,1.923064117673136,-16.6842291807235,0.0006337165832519531
0.05,1,1.6419558374951237,1.917563756423887,-16.785342981527158,0.0006711483001708984
0.05,2,1.584521839668766,1.8696281019819458,-17.99320496414108,0.0006990432739257812
0.05,3,1.6109156165309917,1.88710957272141,-17.145153560878942,0.0008020401000976562
0.05,4,1.6816568140624253,1.9485190163685675,-15.869004904839992,0.0006101131439208984
0.1,0,1.6595440140451856,1.864236431867315,-12.334256644581897,0.0005788803100585938
0.1,1,1.6671861369993994,1.8865039725138377,-13.154969960892693,0.0006151199340820312
0.1,2,1.6865561474682924,1.8866122389606983,-11.86181034012489,0.0005598068237304688
0.1,3,1.6244496205466368,1.83607962313808,-13.027797225267507,0.0005619525909423828
0.1,4,1.6831255952389705,1.8790857221196429,-11.642632459216442,0.0005528926849365234
0.15,0,1.6451405450281043,1.8422798159563094,-11.983126397558781,0.0005540847778320312
0.15,1,1.6786199665810337,1.8773344506462486,-11.837967379236586,0.0005650520324707031
0.15,2,1.7246852731418827,1.9130658576749697,-10.922606429514618,0.0005528926849365234
0.15,3,1.6527510091529918,1.8449154836231116,-11.626946430884411,0.0005898475646972656
0.15,4,1.7057730208574926,1.892788276177284,-10.963665917624775,0.0006439685821533203
0.2,0,1.6657899474350601,1.8448591170541886,-10.749804913569953,0.0006499290466308594
0.2,1,1.6652557238535353,1.8608971989691303,-11.74843432832436,0.0006351470947265625
0.2,2,1.6817744551082747,1.8633677845323833,-10.797721946158195,0.0006058216094970703
0.2,3,1.696398484611766,1.8708216856139273,-10.281971045386749,0.0006289482116699219
0.2,4,1.7152111836109674,1.9041665758467874,-11.016450571294643,0.0005698204040527344
