Session,Method,Replicate,RMSE,R2,PLV,EnvCorr,SpCoh,DTW
session_1,GPR,0,1.1722325521058654,-0.05888795653437584,0.12491211647603877,0.04504317350015942,0.0117724070809538,0.9501150231765831
session_1,Cubic Spline,0,1.596248005141452,-0.9634651139164254,0.07265074013391891,0.018899750835563556,0.021397905945348974,0.9751345716164127
session_1,Penalized Spline,0,8.306038012387694,-52.16309824619004,0.06878019231040672,0.004924002059412232,0.03437259127642295,5.557547323798115
session_1,GPR,1,0.681998395248246,-0.024926720737677543,0.7366980059496944,0.02467909759899644,0.037824125653428325,0.4921352755794104
session_1,Cubic Spline,1,2.5273825712888787,-13.075637797348138,0.3934599770326958,0.027389611766795757,0.010726829827389954,1.5056916451216051
session_1,Penalized Spline,1,56.36651749157295,-7000.13605059738,0.6047322720132128,-0.01343489961318756,0.015294667667400388,51.132926577535045
session_1,GPR,2,1.010226472118761,-0.032412289388090265,0.4591215800118135,0.004935641804497468,0.0256540926881468,0.7500620888892922
session_1,Cubic Spline,2,4.541606868406583,-19.865786161903763,0.3063144094534571,0.03628164949056663,0.02431707888971393,3.299943577318852
session_1,Penalized Spline,2,22.197466090641623,-497.4510081460066,0.18514576104790995,0.026491220180823154,0.026082092357521795,16.907472231400863
session_1,GPR,3,0.7213421972703737,-0.2683978161045244,0.7237905797521393,-0.007516775706727859,0.013480252188029767,0.4125421096328621
session_1,Cubic Spline,3,4.402556642098055,-46.24792205453866,0.7254302939970577,-0.0527657002578449,0.029176073872200517,3.9112719446045467
session_1,Penalized Spline,3,2.448882791544576,-13.61870181302972,0.6726857514449972,-0.08043200401258957,0.018723149624124535,1.870813732295902
session_1,GPR,4,0.20194832162393794,-0.023994923718461347,0.9841076814751182,-0.05325847470678419,0.009557367682918129,0.1835313728421011
session_1,Cubic Spline,4,0.21770110723200042,-0.18997704330056187,0.9819763399322224,0.024461339322714905,0.01096505486142705,0.16923617530919602
session_1,Penalized Spline,4,7.862400711548042,-1551.1284363542918,0.5147014736395348,0.0376177130792381,0.006564067483718569,6.41708133813426
