Method,Missing_Fraction,Replicate,N_Missing,RMSE,MAE,R2,PLV,Time,Status,Session
Baseline GPR,0.1,0,873,0.15255122627976034,0.1376872770745066,-0.008236896614417066,0.027952934548771284,39.777852058410645,Success,session_1
Baseline GPR,0.1,1,873,0.38783323138549586,0.3412758008272033,-0.009102286705628293,0.03854926550222442,36.208128929138184,Success,session_1
Multi-Kernel GPR,0.1,0,873,0.1524137874050819,0.13738770210198115,-0.006421001375955582,0.028091520696737454,61.82610011100769,Success,session_1
Multi-Kernel GPR,0.1,1,873,0.38783326521336703,0.3412758943125493,-0.009102462738937778,0.03854918781349461,54.20414710044861,Success,session_1
EKF,0.1,0,873,0.3383766729013078,0.3026027204760826,-3.9605749079020907,0.13959754445283,0.09969806671142578,Success,session_1
EKF,0.1,1,873,0.3886751324033142,0.3224236138989554,-0.013488122071970698,0.2333132099689637,0.09994912147521973,Success,session_1
Particle Filter,0.1,0,873,0.6172238732518505,0.580490865819196,-15.505041150421324,0.04198209603282853,0.4597179889678955,Success,session_1
Particle Filter,0.1,1,873,0.6167651199568436,0.48402452381612404,-1.552024050057251,0.02902723920250636,0.45336198806762695,Success,session_1
