Session,Method,Missing_Fraction,Replicate,Time,RMSE,R2,PLV,EnvCorr,SpCoh,DTW
session_1,GPR,0.05,0,1.4082260131835938,0.24790207561636166,-0.8243626118687044,0.9860958322934362,-0.0978037188549217,0.038987532975033753,0.18223176921899434
session_1,Cubic Spline,0.05,0,0.005656719207763672,0.3299239217678709,-2.231308696025635,0.9839421627579389,-0.050810053456065915,0.02784102701054602,0.24979798643398074
session_1,Penalized Spline,0.05,0,0.008033037185668945,1.3372500934627505,-52.085524312262486,0.09638184525870554,-0.07711652565667672,0.023978048758528926,0.9429242820293432
session_1,GPR,0.05,1,1.7062008380889893,0.7697991570894702,-0.345656888995999,0.6975276136185449,-0.013757115024104344,0.04906888690782011,0.46572275964379073
session_1,Cubic Spline,0.05,1,0.002107858657836914,1.5336982779759425,-4.341452080069219,0.15763066207544302,0.007670127631564308,0.06959616854419116,1.018630205782804
session_1,Penalized Spline,0.05,1,0.001561880111694336,3.339331136362068,-24.322026004923046,0.37968140903493075,0.059880616251283325,0.016552459194416162,2.064422497386219
session_1,GPR,0.05,2,1.8621289730072021,0.4271115203254048,-0.04725090881018734,0.9167979037595783,0.0023486952207858614,0.043526115643997,0.29806510201637587
session_1,Cubic Spline,0.05,2,0.0023419857025146484,1.2759620426506562,-8.346385393212483,0.2036320261763424,0.016408372893713937,0.03534188447620824,0.7404289364989087
session_1,Penalized Spline,0.05,2,0.0017783641815185547,0.886373034026017,-3.5102565392070932,0.41699250676952854,0.0020384798236222144,0.01824641653697969,0.3853255436420435
session_1,GPR,0.05,3,1.4751899242401123,0.3597191241466738,-0.36370820652879554,0.9479070216359045,0.0013648952908860048,0.043084055105938664,0.23086375514369314
session_1,Cubic Spline,0.05,3,0.002174854278564453,0.6804403545177615,-3.8794910274109045,0.9574270234369536,0.026397181046677543,0.03468734236860942,0.5630305359235777
session_1,Penalized Spline,0.05,3,0.0017490386962890625,3.5100597593976306,-128.84445873267074,0.506892348246719,0.0013993297971577638,0.03369028203583371,2.9459919239194248
session_1,GPR,0.05,4,1.2669048309326172,0.21328195594143695,-0.011252819174155881,0.9821437719101869,0.09774449011212068,0.014426472210765293,0.1946280696093288
session_1,Cubic Spline,0.05,4,0.0023288726806640625,0.577009048526569,-6.401449206102601,0.9053243256818942,-0.03137159992721752,0.02006909194379184,0.3551105934799424
session_1,Penalized Spline,0.05,4,0.0018229484558105469,1.248969458643487,-33.67808867595484,0.3265300233391407,-0.0007220508725055017,0.03386655365035184,0.9588983287745754
session_1,GPR,0.1,0,1.3673367500305176,0.18878650097890598,0.0009717174169723286,0.985908540834854,0.046414504303233774,0.008361000330561127,0.16905320612070343
session_1,Cubic Spline,0.1,0,0.0021829605102539062,0.5796058980557534,-8.416759986092153,0.9652614010818269,-0.056260231657680786,0.010176789131804816,0.4533722680885433
session_1,Penalized Spline,0.1,0,0.0018770694732666016,5.380606132068419,-810.5182918423823,0.6645880278921207,0.03544479799753494,0.011239385545784472,4.708532862046484
session_1,GPR,0.1,1,1.6117050647735596,0.6579406325971427,-0.009930207239063238,0.7523511101929806,0.07536380684284691,0.014286735302769808,0.5504044167206539
session_1,Cubic Spline,0.1,1,0.0025010108947753906,1.8821925581270647,-7.265060749407448,0.5829290558490718,-0.09007776271112061,0.019750983836454072,1.3602662978140518
session_1,Penalized Spline,0.1,1,0.0017421245574951172,15.811178937007407,-582.2388613914071,0.3258147451425091,-0.08619937691764998,0.01672332750910926,12.523571463916443
session_1,GPR,0.1,2,1.6002390384674072,0.4431306511903431,-0.13672524625606597,0.9188567599592057,0.008174978265398968,0.02328700168810171,0.39679722803591283
session_1,Cubic Spline,0.1,2,0.001979827880859375,0.8760235953185924,-3.4424600523230167,0.48620687570588034,0.007273160797108326,0.017348022389645282,0.46851759660079806
session_1,Penalized Spline,0.1,2,0.0015571117401123047,8.967186592104193,-464.48354922776275,0.4116421065978707,0.05041484086985209,0.011421375125323673,6.77429136142111
session_1,GPR,0.1,3,1.026097059249878,0.307336318249597,-0.009877078852559285,0.9600879860496601,-0.015069835146998757,0.020175297695636626,0.2693343139625838
session_1,Cubic Spline,0.1,3,0.0020711421966552734,0.7789948454913249,-5.487986156370017,0.948240451022708,-0.0435020749081797,0.030833168363688226,0.5986667275996985
session_1,Penalized Spline,0.1,3,0.0015888214111328125,10.09072420841741,-1087.6428376006616,0.8407359907550346,-0.04946760034469373,0.031567544122459726,9.08302563715897
session_1,GPR,0.1,4,1.2511019706726074,0.2215606502019229,-0.02852285070903937,0.9808977133728813,0.044602246218615485,0.015894607917277422,0.19529263201822125
session_1,Cubic Spline,0.1,4,0.0024368762969970703,0.4071168596067144,-2.4726967339517723,0.9673783213552261,0.02634932885311064,0.008691629019067245,0.21648947202550609
