Session,Method,Missing_Fraction,Replicate,N_Missing,RMSE,R2,PLV,Time,Status
session_1,Penalized Spline,0.15,3,1309,3.7836497132891864,-141.48099192617588,0.8651337489964168,0.0012607574462890625,Success
session_1,GPR,0.15,4,1309,0.248124510167937,-0.1862508410723247,0.9963661784155575,1.1893310546875,Success
session_1,Cubic Spline,0.15,4,1309,0.3910866156640808,-1.9470201557038105,0.9902009434051166,0.0017023086547851562,Success
session_1,Penalized Spline,0.15,4,1309,18.7713120395773,-6788.322804860954,0.2820378506661265,0.001071929931640625,Success
session_1,GPR,0.2,0,1746,0.2099415493288146,-0.047277539842905725,0.9965303349442238,1.1878070831298828,Success
session_1,Cubic Spline,0.2,0,1746,0.9122256645426631,-18.772863437880197,0.8449560971161958,0.001577138900756836,Success
session_1,Penalized Spline,0.2,0,1746,2.3436764020759995,-129.5149581187789,0.6737254717886396,0.001058816909790039,Success
session_1,GPR,0.2,1,1746,0.6559605206898713,-0.08805061855534468,0.9556265189060077,1.195160150527954,Success
session_1,Cubic Spline,0.2,1,1746,2.6028957739462744,-16.13196793561028,0.7016247111619447,0.0015468597412109375,Success
session_1,Penalized Spline,0.2,1,1746,12.883236367987308,-418.70451965060624,0.6348963028273018,0.0010280609130859375,Success
session_1,GPR,0.2,2,1746,0.49171163312419186,-0.3599122650989537,0.9781559673475654,1.5826129913330078,Success
session_1,Cubic Spline,0.2,2,1746,1.4094728316958838,-10.173863006338612,0.9093240860034378,0.0016417503356933594,Success
session_1,Penalized Spline,0.2,2,1746,15.603777294592923,-1368.4601866792211,0.6167751593954335,0.0010290145874023438,Success
session_1,GPR,0.2,3,1746,0.38952792395744856,-0.4269749549602311,0.9872744216772961,1.0917861461639404,Success
session_1,Cubic Spline,0.2,3,1746,1.1041012661684857,-10.464548982336323,0.7930197665771792,0.0017271041870117188,Success
session_1,Penalized Spline,0.2,3,1746,10.905052531281054,-1117.3936234989535,0.5307637810784749,0.0010380744934082031,Success
session_1,GPR,0.2,4,1746,0.2435834692007477,-0.09789750900473271,0.9953021970366018,1.0564069747924805,Success
session_1,Cubic Spline,0.2,4,1746,0.561762102106544,-4.839437992178314,0.984773897760416,0.0016429424285888672,Success
session_1,Penalized Spline,0.2,4,1746,6.632724908757961,-813.0482506631027,0.7600855023601242,0.0012078285217285156,Success
session_2,GPR,0.05,0,425,0.09330969823431065,-0.004216498054608664,0.9998989039640851,1.1302430629730225,Success
session_2,Cubic Spline,0.05,0,425,0.32864462401002503,-11.457383865043585,0.9989879833995283,0.0018680095672607422,Success
session_2,Penalized Spline,0.05,0,425,0.6305337803623526,-44.855401380224926,0.9968876228144139,0.0010852813720703125,Success
session_2,GPR,0.05,1,425,0.40535848305496636,-0.09017772336054142,0.9979234781148877,1.1003360748291016,Success
session_2,Cubic Spline,0.05,1,425,1.3811482363117853,-11.656084263407806,0.9862879398924593,0.0020329952239990234,Success
session_2,Penalized Spline,0.05,1,425,8.52795309300865,-481.51228717214815,0.8889835631117945,0.001230001449584961,Success
session_2,GPR,0.05,2,425,0.26276284262147287,-0.03162981540143939,0.9991544351046994,1.0837759971618652,Success
session_2,Cubic Spline,0.05,2,425,1.1082394378311902,-17.35114573281344,0.9746486284086218,0.00177001953125,Success
session_2,Penalized Spline,0.05,2,425,2.314658176848257,-79.05154372699928,0.974671755282844,0.0010640621185302734,Success
session_2,GPR,0.05,3,425,0.24706870408269163,-1.0866629033547772,0.9993046499565404,0.8880918025970459,Success
session_2,Cubic Spline,0.05,3,425,0.3606740365635408,-3.4467896013802486,0.9987147307620434,0.0017547607421875,Success
session_2,Penalized Spline,0.05,3,425,3.046680757453879,-316.30047328347837,0.9061094706699921,0.0010459423065185547,Success
session_2,GPR,0.05,4,425,0.36836598918217134,-9.711293383880372,0.998026709657917,0.9762465953826904,Success
session_2,Cubic Spline,0.05,4,425,0.24398917769062847,-3.6992006648045503,0.9992718052680384,0.0017828941345214844,Success
session_2,Penalized Spline,0.05,4,425,1.2146474430984733,-115.46175880564363,0.9910347932085884,0.0010821819305419922,Success
session_2,GPR,0.1,0,850,0.09849398647800094,-0.0016281615393303195,0.9997738766240576,1.096597671508789,Success
session_2,Cubic Spline,0.1,0,850,0.12331916801612255,-0.5701757562697991,0.9996654919381303,0.0017349720001220703,Success
session_2,Penalized Spline,0.1,0,850,1.4707059080450453,-222.32573371343727,0.9771271828163058,0.001081228256225586,Success
session_2,GPR,0.1,1,850,0.45346340100482413,-0.006863732716990922,0.994340594927647,1.047029972076416,Success
session_2,Cubic Spline,0.1,1,850,1.071034545551402,-4.616854498515627,0.9571452043386521,0.0016639232635498047,Success
