RMSE,R2,PLV,EnvCorr,SpCoh,DTW,Method,Time
0.4225800002040629,-0.4475236958870694,0.9267124492378819,0.022222040937804523,0.02027306324108628,0.1085824052092857,Takens Embedding,0.4448568820953369
0.3986721289769566,-0.2883668879358321,0.9391991586536494,-0.07004511860381686,0.03173562677720491,0.24238375641082557,F-Ridge,0.9324359893798828
0.34672381043748685,0.025515047127042556,0.9466046910356049,0.18163039396680578,0.01509355243010271,0.28059040150059356,FCNN,31.18621301651001
0.5263024087050331,-1.2453214182575314,0.9012544567605197,0.01132170438013428,0.015393489848132266,0.3024246557332274,Cubic Spline,0.469196081161499
0.37924047186287585,-0.16583519083887888,0.9454113029699709,-0.0009342620347612534,0.008038874739952599,0.34609322410160864,FLSTM,150.6031198501587
0.3821306758681974,-0.18367263873600548,0.9450030640651614,-0.02729777331032635,0.018936302842810795,0.346866015832412,GPR,1.7044248580932617
0.40235447913690936,-0.31227690192373214,0.9456278302605304,0.08369963837883418,0.006324571868611109,0.36740261996448764,Constrained Opt.,7.855266094207764
0.4579226380438889,-0.6997773266643985,0.9408986321031177,-0.0062574288070470175,0.005606917928600706,0.39180612015088473,Mean Reversion,0.4380831718444824
1.1612622797237255,-9.93121516344072,0.923785234377977,-0.046550768639769355,0.01731800618670592,1.0024515336241606,ZF-CNN,8.73766803741455
9.520983891436424,-733.803920198621,0.8173741875425536,-0.045261150681042105,0.00987971068081368,8.364571212813953,Penalized Spline,0.4484701156616211
