Gap_Fraction,Method,Replicate,RMSE,R2,PLV,EnvCorr,SpCoh,DTW,Time
0.05,GPR,0,1.1463709865442364,-0.02288122570599116,0.10256746208735838,0.05378722954233575,0.0396586735903203,0.931643420220462,
0.05,Constrained Opt.,0,1.2512450788463338,-0.21859558502575327,0.09999739906751248,0.12851439687321972,0.0270927174122599,1.056039943623439,0.47553586959838867
0.05,Takens Embedding,0,0.41047200706425674,0.868857962951002,0.9071598064051143,0.8721977655054829,0.47260856419864855,0.21735799888126198,0.28024911880493164
0.05,Mean Reversion,0,1.3248528666044266,-0.3661869578011514,0.10075942689533099,-0.07084247819525158,0.053281753377164884,1.1274085261804063,
0.05,GPR,1,0.8876889743693769,-0.09669508824596829,0.5774211515683595,-0.0650550808647713,0.10318859463320738,0.6081839605108019,
0.05,Constrained Opt.,1,1.3022028285623666,-1.3600516936573603,0.5880047140910485,0.02309286344732414,0.03421274794437939,0.8237536030000516,0.37174224853515625
0.05,Takens Embedding,1,0.24010690548836847,0.9197632095573864,0.9667619979280747,0.9316557403619781,0.3138827919086403,0.0971947606669853,0.23971891403198242
0.05,Mean Reversion,1,0.8499347375583056,-0.005391955944465954,0.5896713805117763,0.091015443070998,0.033399974480625205,0.7136108479138835,
0.05,GPR,2,0.19762174216636808,-0.4055221533237463,0.9847369858053969,0.18787037551407154,0.030427808861896714,0.04945702684637421,
0.05,Constrained Opt.,2,0.20659921254938943,-0.5361215144935838,0.9853139730807214,0.016221890250085143,0.020679137823008856,0.13836874685991668,0.19607186317443848
0.05,Takens Embedding,2,0.07474149156372231,0.7989556978890983,0.9977363452580144,0.888644763053875,0.5187092913759787,0.020847767869798927,0.21566104888916016
0.05,Mean Reversion,2,0.24392974839996004,-1.1413999279042835,0.9891596484943683,0.017553768653924544,,0.2146738675176718,
0.1,GPR,0,1.1329247393251463,-0.004268864234163061,0.07059668952819516,-0.02795799431028373,0.039817617304315954,0.9515929918684193,
0.1,Constrained Opt.,0,1.4620649990728587,-0.6725581981765569,0.054943919897359694,0.03370151106020937,0.0389294542767543,0.9227554717707279,0.2595677375793457
0.1,Takens Embedding,0,0.44095421090235615,0.8478629937683664,0.9068635573757435,0.8395337029154201,0.43330016441274555,0.2102683627881818,0.4363901615142822
0.1,Mean Reversion,0,1.3853436231252125,-0.5016298655507359,0.06928834569127053,-0.006310083273135526,0.013852782413369588,1.1832364292288176,
0.1,GPR,1,0.9335203857444846,-0.30210899176876205,0.6251149907692728,-0.04948594105828412,0.016876439550022763,0.7367814232707595,
0.1,Constrained Opt.,1,1.0716511653180572,-0.7159578130076003,0.6158725471361711,0.0576164759897086,0.0054007931252088,0.703061608203535,0.2809929847717285
0.1,Takens Embedding,1,0.2379759508372543,0.9153813939413468,0.9632569829090667,0.9272198242530899,0.3344811884658765,0.10077383872942033,0.46468687057495117
0.1,Mean Reversion,1,0.8251580558313192,-0.01735848900232928,0.6357772277708988,0.008009630204545192,,0.6961665040160142,
0.1,GPR,2,0.1745092697544202,-0.02807257554758924,0.9882802259234865,-0.013440433967091815,0.008118700636707644,0.15691982214492214,
0.1,Constrained Opt.,2,0.21564335940885324,-0.5698528639621743,0.9876219015976307,-0.014738107465406153,0.012470152506569016,0.14808745830247166,0.31504082679748535
0.1,Takens Embedding,2,0.05638578209451965,0.8926687989548128,0.9987104338979149,0.9417373090634625,0.3339778788543018,0.01662602373083847,0.41934967041015625
0.1,Mean Reversion,2,0.2525221988489608,-1.152711825258458,0.9883788717593998,-0.006459643236335933,,0.22123457309288658,
0.15,GPR,0,1.3863218960876145,-0.5346841028056408,0.10654864061962262,0.03329108244527682,0.015494483831514432,1.1311246143934353,
0.15,Constrained Opt.,0,1.7011997430459247,-1.3110079843701663,0.10658287879040829,-0.016683479096731773,0.00762003819751368,0.9997309240748297,0.4325129985809326
0.15,Takens Embedding,0,0.5277297586309991,0.777610643370354,0.876477718637023,0.8126105541862254,0.4093129616533621,0.2292294521134478,0.6879110336303711
