method,rmse,mae,r2,mae_phase,rmse_phase,plv,env_corr,spec_coh,dtw_dist,spectrogram_rmse,mean_time_rmse,mean_freq_rmse
GPR,0.6114411120971737,0.40128161810348084,-0.23890356238452237,0.3736205304951862,0.6493302080244536,0.8444965391547075,-0.18701041836328852,0.11531789881182301,0.3794499618834694,0.022256938775002063,0.003636905672380792,0.007297476421602338
OLD-CNN,1.2314580444392071,1.136240868359901,-4.025363359648622,1.353649927157608,1.4540820282542404,0.19952981647310583,0.20498208195201342,0.13462641537415965,0.8917788529016379,0.02535912736528399,0.005098897505433143,0.008165710906966776
FCNN,0.723873961096853,0.5899071379964365,-0.7364174358542377,0.5511054529652076,0.7804929913626213,0.7657006968429643,0.2370834722716411,0.10379190066282833,0.25727872018662895,0.018846155266553925,0.0035628372417134246,0.00670782553616436
FLSTM,0.5544492161156688,0.39906683947581895,-0.018712831269462882,0.35776277562197256,0.6181164743909637,0.8562487069015313,0.13475023291611343,0.10559688034435159,0.3087692514083069,0.020154387151292554,0.0036015416107599424,0.006914292507204865
F-Ridge,0.6588155728612034,0.3978572183132117,-0.4383213976679303,0.4157921190515485,0.8007011905827546,0.8054999075602934,0.3058453954841913,0.3384133010132483,0.2252529816612245,0.019547870955040684,0.003010398620803711,0.006809165869387915
