Gap_Fraction,Method,RMSE_mean,RMSE_std,MAE_mean,R2_mean,NRMSE_mean,N_missing_mean,N_trials
0.02,GPR,1.6476165019746511,0.6556643131490535,1.326451961111111,-0.4032992894590118,1.1772490705705352,60.0,3
0.02,CSI,2.1613187287835376,0.7573779173264849,1.3699115897496377,-5.886939369883674,2.1199715212579036,60.0,3
0.02,LSTM,1.5045555274252276,0.7269508066681092,1.204196033730378,-0.1193371865402381,1.0276185814010017,60.0,3
0.05,GPR,1.6739574664985433,0.20518155081637232,1.329632971111111,-0.4624403796674619,1.2034023899454456,150.0,3
0.05,CSI,2.9542295580787314,0.4832911804570059,2.2291686238408697,-3.714891541714374,2.1363907096740573,150.0,3
0.05,LSTM,1.581558045929099,0.17878225591485108,1.2494483534572784,-0.30351356228194865,1.1371792588559801,150.0,3
0.1,GPR,1.7652940732544957,0.060058825578996056,1.4019912344444443,-0.5006800781542609,1.2232075144421375,300.0,3
0.1,CSI,4.6555825912612,1.1020889208339222,3.4813004072597202,-9.95177475438091,3.22289323696171,300.0,3
0.1,LSTM,1.7929691495808564,0.07992564167412877,1.4088662438335495,-0.5494825199944974,1.2424144757318503,300.0,3
0.15,GPR,1.7761250170440992,0.07761071320175471,1.4113528051851827,-0.5070819371141879,1.2262420338353828,450.0,3
0.15,CSI,5.1982477335898745,1.558355526783124,4.120754425608138,-13.43962446801094,3.6138502974580597,450.0,3
0.15,LSTM,1.8342987052176627,0.10394041905421712,1.453110517758412,-0.6168749136595288,1.2678194400427947,450.0,3
0.2,GPR,1.7890858603211155,0.06480208773493293,1.4320041238888892,-0.4693065850536447,1.2107050381851456,600.0,3
0.2,CSI,14.865754185310678,5.670250115890532,10.831710624559479,-116.47352154792442,10.10292748363711,600.0,3
0.2,LSTM,1.8522556376418648,0.10198523994739878,1.475909148241585,-0.5795792644696361,1.2538538691106293,600.0,3
0.25,GPR,1.820406985747818,0.06087604898935423,1.4545630484444363,-0.48483420433302976,1.2171486688889497,750.0,3
0.25,CSI,15.041270053797474,4.081906925606755,10.676098111881613,-108.66757183968384,10.089443469709996,750.0,3
0.25,LSTM,1.8842449656998026,0.0564919950666408,1.5014760695306275,-0.5927531549673756,1.2602794414527547,750.0,3
0.3,GPR,1.8348929180635967,0.05006189267823502,1.461758945185171,-0.47186265506126723,1.2124448181080731,900.0,3
0.3,CSI,22.823975500744496,9.809299988281223,14.154276235794539,-294.41876604853843,15.464002385063083,900.0,3
0.3,LSTM,1.9362008340594965,0.014887536181257162,1.5396224655713964,-0.6464500774543318,1.2810947109386428,900.0,3
