distortion,severity,rmse,r2,plv,optimal_lag
warp_positive,0.05,1.207223957477103,-0.8617543642707612,0.1591479624853454,100
warp_positive,0.1,1.1983557909379632,-0.8345022445022567,0.11319071178103375,-73
warp_positive,0.15,1.1400937972097782,-0.660457848689155,0.14010559051869573,-26
warp_positive,0.2,1.1190540247230227,-0.5997377627192031,0.06468691766405382,-92
warp_negative,0.05,1.321890141399902,-1.232222168889329,0.26705127021906905,-36
warp_negative,0.1,1.3726561650359306,-1.4069674628789186,0.2388100176743455,16
warp_negative,0.15,1.4372269000430047,-1.638744638576084,0.33086020318778997,100
warp_negative,0.2,1.513030005198335,-1.924433640199327,0.3616869116595767,0
warp_mixed,0.05,1.2189347687314962,-0.8980498724406691,0.2264353171793191,1
warp_mixed,0.1,1.2388147910215586,-0.9604666270598858,0.2018492801615274,36
warp_mixed,0.15,1.2458150116390598,-0.9826854018620323,0.20997325363017058,-4
warp_mixed,0.2,1.2631147415143422,-1.038131949915146,0.18602703121636383,87
time_jitter,0.5,1.1479655048103101,-0.6834660632956082,0.6364921349992471,0
time_jitter,1.0,1.1924114285997354,-0.8163475370063098,0.4024522274409756,0
time_jitter,2.0,1.2666546669092187,-1.0495718369342537,0.26293886303468156,0
time_jitter,3.0,1.265432424385302,-1.0456183280568188,0.26776449056889673,0
