session,samples,missing_frac,method,rmse,mae,r2,plv,time_s
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.05,cubic_spline,0.1858661361203205,0.02828372731653408,0.9558686481607358,0.9633008177009026,0.0056569576263427734
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.05,gpr,0.17757875435212453,0.026182067075294108,0.9597163605604984,0.9534702722569326,29.5449697971344
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.05,penalized_spline,0.23304912734727545,0.03151128510461489,0.9306188248055084,0.9712770057973069,0.001725912094116211
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.1,cubic_spline,0.3121612059995342,0.052683625927532514,0.8755185755202904,0.9811833012732061,0.002454996109008789
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.1,gpr,0.2202858000941877,0.04406058231387285,0.9380102770478321,0.953626207167044,5.119532108306885
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.1,penalized_spline,0.27520749383886434,0.04812015130948794,0.9032463849873499,0.9712770057973069,0.0012722015380859375
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.15,cubic_spline,0.4655526949142056,0.0976221452972421,0.7231245945328966,0.9662871052901069,0.0017910003662109375
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.15,gpr,0.29236067891735307,0.07434706859694863,0.8908095607436388,0.9510849700163303,11.203863859176636
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.15,penalized_spline,0.3522085817997152,0.07644298511302472,0.8415301828138899,0.9712770057973069,0.0010750293731689453
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.2,cubic_spline,0.6144345917003773,0.15301711790438227,0.5177213847647458,0.8409923148955629,0.0017981529235839844
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.2,gpr,0.3667141868266017,0.10562900321770533,0.8282083255642533,0.9165794004538129,7.673951864242554
session_2026-01-23_11-52-39_1_long_pendulum.json,9335,0.2,penalized_spline,0.49606104090492315,0.13085365569941815,0.6856474916573068,0.8985899551920925,0.0012869834899902344
session_2026-01-23_13-09-28_1.json,8781,0.05,cubic_spline,0.1371738792743719,0.018943567261062513,0.9651725813828266,0.982635056488545,0.0020978450775146484
session_2026-01-23_13-09-28_1.json,8781,0.05,gpr,0.07640985148466715,0.01157393291467259,0.9891936966207099,0.9875951002834589,7.882447242736816
session_2026-01-23_13-09-28_1.json,8781,0.05,penalized_spline,0.11065868091873333,0.01566400280053769,0.9773353288153545,0.9864359293579255,0.0011589527130126953
session_2026-01-23_13-09-28_1.json,8781,0.1,cubic_spline,0.23382138766069602,0.03449305203013108,0.8988078293524442,0.9733110866573409,0.0017573833465576172
session_2026-01-23_13-09-28_1.json,8781,0.1,gpr,0.15119047544088704,0.024076012507803293,0.9576915309733414,0.9880982331553572,7.079478025436401
