method1,method2,method1_mean,method1_std,method2_mean,method2_std,wilcoxon_statistic,wilcoxon_p,mannwhitney_statistic,mannwhitney_p,ttest_statistic,ttest_p,cohens_d,effect_size_interpretation,significant,Scenario
Penalized Spline,CNN,4.335563392357836,0.7879052581878354,1.806115018069238,0.15888711810081022,0.0,0.0625,25.0,0.007936507936507936,5.807007164897067,0.004375364564928354,3.980669948426794,large,False,Medium (10%)
Penalized Spline,LSTM,2.2166496329756074,1.3567922070599763,1.6481437227602718,0.10022094160935223,5.0,0.625,20.0,0.15079365079365079,0.7963264291774311,0.47043124454804847,0.5285670137049739,medium,False,Medium (10%)
GPR,CNN,1.5798013074377637,0.07762809712856417,1.7537186305595864,0.090766916241603,0.0,0.0625,0.0,0.007936507936507936,-2.549871413891636,0.0633140516198087,-1.8419196540106206,large,False,Medium (10%)
GPR,LSTM,1.605569226922162,0.10418471250193691,1.5884484359916393,0.10787119834761855,6.0,0.8125,12.0,1.0,0.18457324554643012,0.862543845031417,0.1444051939278554,negligible,False,Medium (10%)
CNN,LSTM,1.6847703517592325,0.12731675563564154,1.5181205102835733,0.08931010323159139,1.0,0.125,20.0,0.15079365079365079,2.6033964443766204,0.05983393437452996,1.3554522145124348,large,False,Medium (10%)
CSI,Penalized Spline,3.5027751515516514,1.0953805988432277,4.209088267402632,0.7254622357162275,3.0,0.3125,6.0,0.2222222222222222,-1.3360000119950766,0.25249183325212265,-0.6800134124257516,medium,False,Large (15%)
CSI,GPR,3.262843391861466,1.2342739867430685,1.5252001805279811,0.10383715611675365,1.0,0.125,23.0,0.031746031746031744,2.6626089524780605,0.05623722305464683,1.7745063909731895,large,False,Large (15%)
CSI,CNN,3.1187464520354715,0.5192222728884632,1.7159109041963738,0.07817924150688951,0.0,0.0625,25.0,0.007936507936507936,6.00294542643668,0.003875559064049331,3.379445190713212,large,False,Large (15%)
CSI,LSTM,3.349913566283938,0.8776910519956956,1.631818079407875,0.056367299456611245,0.0,0.0625,25.0,0.007936507936507936,3.9138649960501013,0.01733717166156105,2.470994826434787,large,False,Large (15%)
Penalized Spline,GPR,3.8293659661155504,0.5369714800225232,1.5665651697437615,0.05538819276571661,0.0,0.0625,25.0,0.007936507936507936,8.847326672794908,0.0009011370652105272,5.302209748210795,large,False,Large (15%)
Penalized Spline,CNN,4.354329134027077,1.4204899701106204,1.724292143814159,0.06160159056736436,0.0,0.0625,25.0,0.007936507936507936,3.7109132552339408,0.020637563402551868,2.339783545297642,large,False,Large (15%)
Penalized Spline,LSTM,3.377504577152505,1.0698424154810429,1.5275735517408737,0.10515064238488775,0.0,0.0625,25.0,0.007936507936507936,3.5155279226819713,0.02454897303078363,2.176747757471893,large,False,Large (15%)
GPR,CNN,1.4775750590811103,0.06746165678470152,1.7778438413004705,0.12464691581548788,0.0,0.0625,0.0,0.007936507936507936,-4.399371449925417,0.011696908475864472,-2.679801304643546,large,False,Large (15%)
GPR,LSTM,1.576745562626171,0.16170526344952646,1.5112697285476542,0.08543899334921704,3.0,0.3125,17.0,0.42063492063492064,1.3229490528967691,0.2564127466097526,0.45284884777193657,small,False,Large (15%)
CNN,LSTM,1.806923859424208,0.0998081364892435,1.5434637166197178,0.06769601237218771,0.0,0.0625,25.0,0.007936507936507936,3.4538464812242693,0.025963115207968856,2.7632921113570257,large,False,Large (15%)
