rmse,mae,r2,plv,time_s,success,method,missing_frac
0.6808348864796979,0.43803857699307786,0.1925246481175671,0.9868816419464853,7.600303888320923,True,gpr,0.05
1.1183127981366296,0.9865007534800013,-1.1785737281576778,0.9528790694873702,2.8795201778411865,True,cnn_simple,0.05
1.0661869412589167,0.9699036311556042,-0.9802152003024798,0.9632893110209956,5.913141965866089,True,lstm_simple,0.05
1.1411926955938654,1.0052136447720437,-1.2686298306377322,0.9474407915125985,8.132997035980225,True,cnn_fft,0.05
1.0884976530586172,0.9933300716798426,-1.0639570992307008,0.9607982805115934,22.38827395439148,True,lstm_fft,0.05
0.6975801485279834,0.5042418035515229,0.15299997270282983,0.9773121075644419,8.333998680114746,True,gpr,0.1
1.1955587272281492,1.0286432327851267,-1.4879235220191833,0.9053016114975088,2.0686087608337402,True,cnn_simple,0.1
1.1776170507770876,1.0451107749618505,-1.413811591580442,0.9161365140695318,5.670722961425781,True,lstm_simple,0.1
1.1739935364945229,1.0138672852795934,-1.398979903535893,0.9123870491255597,7.753597736358643,True,cnn_fft,0.1
1.2114767532428605,1.0831324845923087,-1.5546144714493506,0.9068577291796347,24.993725061416626,True,lstm_fft,0.1
0.7180675128359564,0.4865340168536405,0.11788404750928094,0.9651629403064594,10.170639038085938,True,gpr,0.15
1.1460834269076026,1.0103243694379276,-1.2471268225570036,0.8755634507285097,2.1645302772521973,True,cnn_simple,0.15
1.198366321986511,1.0865430150939417,-1.4568254922026171,0.855947814150914,5.803880929946899,True,lstm_simple,0.15
1.173508719719567,1.0406635752805224,-1.3559591762533922,0.8587054452540931,8.090611934661865,True,cnn_fft,0.15
1.1766277258076423,1.0720876717611014,-1.368499374978986,0.8700732937274605,22.41808795928955,True,lstm_fft,0.15
0.6071877588109281,0.39116531997794735,0.21118884727638687,0.9621623740119208,9.48194169998169,True,gpr,0.2
1.1670386399767585,1.0460683471612569,-1.914053350478583,0.7889172006421256,1.8717949390411377,True,cnn_simple,0.2
1.1030510498245873,1.0182272218097308,-1.603264236612628,0.8586465509533129,5.723558187484741,True,lstm_simple,0.2
0.8347865368476302,0.7022194350870585,-0.49100088116125185,0.9329148542305423,7.239354848861694,True,cnn_fft,0.2
1.2722331040226678,1.184518642688665,-2.4630631517740165,0.7571167358118176,22.27970814704895,True,lstm_fft,0.2
